name,birthday,nationality
Robert Downey Jr.,1965-04-04,USA
Chris Hemsworth,1983-08-11,AUS
Scarlett Johansson,1984-11-22,USA
Tom Holland,1996-06-01,UK
Ryan Reynolds,1976-10-23,CAN
Gal Gadot,1985-04-30,ISR
Emma Watson,1990-04-15,UK
Leonardo DiCaprio,1974-11-11,USA
Brad Pitt,1963-12-18,USA
Margot Robbie,1990-07-02,AUS
Daniel Radcliffe,1989-07-23,UK
Natalie Portman,1981-06-09,ISR
Christian Bale,1974-01-30,UK
Keanu Reeves,1964-09-02,CAN
Zendaya,1996-09-01,USA
Hugh Jackman,1968-10-12,AUS
Anne Hathaway,1982-11-12,USA
Benedict Cumberbatch,1976-07-19,UK
Henry Cavill,1983-05-05,UK
Tom Cruise,1962-07-03,USA
